booking_id,carrier_code,vehicle,vehicle_capacity,total_amount,total_package,total_weight (tons),total_cbm,total_load_proportion_rate,transport_utilization_rate,num_of_pickup_point,pickup_points,last_pickup_point,num_of_destination_point,store_code,total_loading_time (days),pickup_time (days),delivery_time (days),delivery_month
19-TP-AA-03092024-176216,D,51D-343.96,2.2,161091904,220,2.22537,6.4153425,100,100,1,B,B,1,E,0.03402777777,0.01111111112,1.097916667,Aug-2024
02-TP-AA-03092024-176299,E,50H-245.07,2.3,32871762,180,1.285305,2.98263,100,100,1,C,C,1,E,0.01944444444,0.01458333333,0.8604166667,Aug-2024
60-TP-AA-03102024-183080,C,61C-282.28,16,374007076,1050,11.00526,27.1497555,100,100,2,CB,B,1,F,0.03819444445,0.08819444444,0.2472222222,Sep-2024
26-TI-AA-03102024-183061,B,50H-265.62,16,405082095,720,7.62804,20.810496,65,100,2,BA,A,1,D,0.1138888889,0.07569444444,1.969444444,Sep-2024
02-TP-AA-02102024-182907,E,51D-340.46,2,104420196,440,1.39041,8.2156515,100,100,1,C,C,1,E,0,0.0006944444467,0.275,Sep-2024
02-TP-AA-02102024-182957,E,50H-206.50,5,183953356,590,5.090505,12.6409605,100,100,1,C,C,1,E,0,0.001388888886,0.2520833333,Oct-2024
02-TP-AA-02102024-182909,E,50H-255.25,2.3,124052286,190,2.71236,5.25105,100,100,1,C,C,1,E,0.001388888893,0.0006944444394,0.2493055556,Oct-2024
02-TP-AA-02102024-182910,E,51D-157.63,2.3,52250809,280,2.501898,5.991258,100,100,1,C,C,1,E,0.01666666666,0.006250000006,0.2381944444,Oct-2024
02-TP-AA-02102024-182908,E,51D-336.62,2.3,233234494,260,2.0640375,5.339985,100,100,1,C,C,1,E,0.02222222222,0.005555555559,0.2430555556,Oct-2024
02-TP-AA-02102024-182956,E,51C-919.76,5,269709938,580,6.74709,11.3154615,100,100,1,C,C,1,E,0.001388888893,0.0006944444467,0.2236111111,Oct-2024
02-TP-AA-04102024-183186,E,51C-538.27,5,210536656,410,2.7692595,14.1636075,100,100,1,A,A,1,E,0.005555555559,0.0006944444467,0.20625,Oct-2024
